aiifft01_lite	79217	[013]	2603322.836519	196658	cpu/event=0xD0,umask=0x82/u	400d0c	t_run_test	(/home/koga/autobench_perf/src/autobench/aiifft01_lite)
aiifft01_lite	79217	[013]	2603322.836619	197801	cpu/event=0xD0,umask=0x82/u	40090d	GetInputValues	(/home/koga/autobench_perf/src/autobench/aiifft01_lite)
aiifft01_lite	79217	[013]	2603322.836721	197836	cpu/event=0xD0,umask=0x82/u	401418	t_run_test	(/home/koga/autobench_perf/src/autobench/aiifft01_lite)
aiifft01_lite	79217	[013]	2603322.836820	197493	cpu/event=0xD0,umask=0x82/u	401021	t_run_test	(/home/koga/autobench_perf/src/autobench/aiifft01_lite)
aiifft01_lite	79217	[013]	2603322.836920	197663	cpu/event=0xD0,umask=0x82/u	4010a0	t_run_test	(/home/koga/autobench_perf/src/autobench/aiifft01_lite)
aiifft01_lite	79217	[013]	2603322.837019	197609	cpu/event=0xD0,umask=0x82/u	400c90	t_run_test	(/home/koga/autobench_perf/src/autobench/aiifft01_lite)
aiifft01_lite	79217	[013]	2603322.837121	198043	cpu/event=0xD0,umask=0x82/u	400ce1	t_run_test	(/home/koga/autobench_perf/src/autobench/aiifft01_lite)
aiifft01_lite	79217	[013]	2603322.837222	197489	cpu/event=0xD0,umask=0x82/u	4013ef	t_run_test	(/home/koga/autobench_perf/src/autobench/aiifft01_lite)
aiifft01_lite	79217	[013]	2603322.837322	197249	cpu/event=0xD0,umask=0x82/u	4013d0	t_run_test	(/home/koga/autobench_perf/src/autobench/aiifft01_lite)
aiifft01_lite	79217	[013]	2603322.837419	197096	cpu/event=0xD0,umask=0x82/u	401050	t_run_test	(/home/koga/autobench_perf/src/autobench/aiifft01_lite)
aiifft01_lite	79217	[013]	2603322.837519	197998	cpu/event=0xD0,umask=0x82/u	4010a6	t_run_test	(/home/koga/autobench_perf/src/autobench/aiifft01_lite)
aiifft01_lite	79217	[013]	2603322.837620	197933	cpu/event=0xD0,umask=0x82/u	400ce5	t_run_test	(/home/koga/autobench_perf/src/autobench/aiifft01_lite)
aiifft01_lite	79217	[013]	2603322.837722	197793	cpu/event=0xD0,umask=0x82/u	400c98	t_run_test	(/home/koga/autobench_perf/src/autobench/aiifft01_lite)
aiifft01_lite	79217	[013]	2603322.837819	197124	cpu/event=0xD0,umask=0x82/u	401446	t_run_test	(/home/koga/autobench_perf/src/autobench/aiifft01_lite)
aiifft01_lite	79217	[013]	2603322.837922	198051	cpu/event=0xD0,umask=0x82/u	40127e	t_run_test	(/home/koga/autobench_perf/src/autobench/aiifft01_lite)
aiifft01_lite	79217	[013]	2603322.838026	197150	cpu/event=0xD0,umask=0x82/u	401086	t_run_test	(/home/koga/autobench_perf/src/autobench/aiifft01_lite)
aiifft01_lite	79217	[013]	2603322.838128	196000	cpu/event=0xD0,umask=0x82/u	400c81	t_run_test	(/home/koga/autobench_perf/src/autobench/aiifft01_lite)
aiifft01_lite	79217	[013]	2603322.838227	195727	cpu/event=0xD0,umask=0x82/u	400d5f	t_run_test	(/home/koga/autobench_perf/src/autobench/aiifft01_lite)
aiifft01_lite	79217	[013]	2603322.838325	195839	cpu/event=0xD0,umask=0x82/u	4013c1	t_run_test	(/home/koga/autobench_perf/src/autobench/aiifft01_lite)
aiifft01_lite	79217	[013]	2603322.838429	196353	cpu/event=0xD0,umask=0x82/u	4013d0	t_run_test	(/home/koga/autobench_perf/src/autobench/aiifft01_lite)
aiifft01_lite	79217	[013]	2603322.838527	195436	cpu/event=0xD0,umask=0x82/u	40106f	t_run_test	(/home/koga/autobench_perf/src/autobench/aiifft01_lite)
aiifft01_lite	79217	[013]	2603322.838626	195891	cpu/event=0xD0,umask=0x82/u	400904	GetInputValues	(/home/koga/autobench_perf/src/autobench/aiifft01_lite)
aiifft01_lite	79217	[013]	2603322.838724	196114	cpu/event=0xD0,umask=0x82/u	400d1a	t_run_test	(/home/koga/autobench_perf/src/autobench/aiifft01_lite)
aiifft01_lite	79217	[013]	2603322.838822	196600	cpu/event=0xD0,umask=0x82/u	4013dc	t_run_test	(/home/koga/autobench_perf/src/autobench/aiifft01_lite)
aiifft01_lite	79217	[013]	2603322.838922	197081	cpu/event=0xD0,umask=0x82/u	401407	t_run_test	(/home/koga/autobench_perf/src/autobench/aiifft01_lite)
aiifft01_lite	79217	[013]	2603322.839023	197087	cpu/event=0xD0,umask=0x82/u	4010be	t_run_test	(/home/koga/autobench_perf/src/autobench/aiifft01_lite)
